,ERN,Pe,dataset
70,-7.700004115226337e-06,1.559629350104821e-05,train
71,-8.949745098039215e-06,8.974118756936738e-06,train
72,1.707230936819172e-06,1.9480401220865705e-05,train
73,-3.906107890499194e-06,9.268187858900738e-06,train
74,-2.7725547504025764e-06,1.6395942986054142e-05,train
75,-2.361086419753086e-06,1.4021859119496852e-05,train
76,-3.227654970760233e-06,2.538448262164846e-05,train
77,-6.37490299823633e-07,2.0454979335130272e-05,train
78,-1.2020951851851853e-05,1.7260187735849057e-05,train
79,-1.2599420875420875e-05,6.604452830188678e-06,train
80,-7.708481481481482e-06,6.244204402515723e-06,train
81,-8.975543209876543e-06,1.264832285115304e-06,train
82,-2.5350493827160483e-06,1.6558176100628928e-05,train
83,-6.085885802469135e-06,2.4389215408805034e-05,train
84,-9.144262626262626e-06,2.3273526586620926e-05,train
85,-9.059423280423279e-06,1.5006336927223717e-05,train
86,-1.5354845679012346e-06,4.581201257861635e-06,train
87,-4.985298245614035e-06,1.655467428003972e-05,train
88,-1.2838590203106333e-07,2.2703828362751066e-05,train
89,-3.513178240740741e-06,1.5861201650943396e-05,train
90,-9.012235185185186e-06,8.40896886792453e-06,train
91,8.305643738977071e-07,1.4858824797843669e-05,train
92,-5.297833333333334e-06,1.3317629898403482e-05,train
93,-1.1717851851851851e-05,2.1499725067385444e-05,train
94,-9.639730158730158e-06,2.34260013477089e-05,train
95,-2.4211851851851844e-06,1.726259433962264e-05,train
96,-5.423379084967319e-06,1.7263217536071032e-05,test
97,-1.0162958333333332e-05,6.178235849056604e-06,test
98,1.6974285714285714e-06,7.728743935309973e-06,test
99,-2.7433874643874635e-06,1.643452394775036e-05,test
100,-1.7475502645502646e-06,1.4274037735849058e-05,test
101,-9.292604938271605e-06,-5.32256603773585e-06,test
102,-5.550931623931624e-06,1.9132802612481856e-05,test
103,-5.047791666666667e-06,2.3141044811320755e-05,test
104,-6.562385802469135e-06,2.0768570754716972e-05,test
105,-2.689538461538462e-06,8.505757619738752e-06,test
106,-9.245408684546617e-06,2.3217880286271954e-05,test
107,-5.1073703703703705e-06,1.1322803983228513e-05,test
108,-1.3449343434343437e-06,1.1177343910806175e-05,test
109,-1.0394714814814815e-05,4.615702830188679e-06,test
110,-7.012886039886041e-06,1.0283454281567489e-05,test
111,-5.708555555555555e-06,-4.622807032590051e-06,test
112,-7.110680555555556e-06,9.184278301886792e-06,test
113,-3.849320987654321e-06,1.7452100628930816e-06,test
114,-2.2564126984126984e-06,1.3257258760107815e-05,test
115,-1.057834074074074e-05,4.529546226415094e-06,test
116,2.745990740740741e-06,2.6959172169811313e-05,test
117,-7.225800925925927e-06,1.8095208726415094e-05,test
118,-4.058050154320988e-06,1.860325117924528e-05,test
119,-1.0131261904761903e-05,-1.253408355795148e-06,test
120,-6.562063492063492e-06,2.3100610062893085e-05,test
121,-6.164118055555556e-06,1.99115170990566e-05,test
122,-4.055191358024692e-06,2.0886613993710685e-05,test
123,-5.693277777777777e-06,1.7854766247379456e-05,test
124,8.778257080610022e-07,2.504934961154273e-05,test
125,-3.326514161220042e-07,1.5713753607103218e-05,test
126,-4.032924162257496e-06,1.6372635220125786e-05,test
127,5.57391975308642e-06,1.84116320754717e-05,test
128,1.6688888888888888e-06,1.7172515392254222e-05,test
129,-4.8183388203017825e-06,1.495708036338225e-05,test
