,pipeline,internal_variance
404,ern-ROI 1 test,0.9183568944314453
405,ern-ROI 1 test,0.727617417067867
406,ern-ROI 1 test,0.9522170958610103
407,ern-ROI 1 test,0.8639677574124064
408,ern-ROI 1 test,0.7976827017287118
409,ern-ROI 1 test,0.8975980421691534
410,ern-ROI 1 test,0.9030766763144477
411,ern-ROI 1 test,0.8778980512162194
412,ern-ROI 1 test,0.8604993965700892
413,ern-ROI 1 test,0.8009213953626618
414,ern-ROI 1 test,0.8225527114013935
415,ern-ROI 1 test,0.7240399463345494
416,ern-ROI 1 test,0.9018611808876508
417,ern-ROI 1 test,0.9600687325385111
418,ern-ROI 2 test,0.8201671691964014
419,ern-ROI 2 test,0.8408708502971471
420,ern-ROI 2 test,0.8200128061389292
421,ern-ROI 2 test,0.8580533432616839
422,ern-ROI 2 test,0.8538688108096059
423,ern-ROI 2 test,0.9172406266046689
424,ern-ROI 2 test,0.7517709805758181
425,ern-ROI 2 test,0.8524099549917815
426,ern-ROI 2 test,0.8790843723631657
427,ern-ROI 2 test,0.9051030587828097
428,ern-ROI 2 test,0.9044591243641092
429,ern-ROI 2 test,0.9554906650194509
430,ern-ROI 2 test,0.7748533774173267
431,ern-ROI 2 test,0.8290990853847995
432,ern-ROI 2 test,0.8767316154587957
433,ern-ROI 2 test,0.8381257094445445
434,ern-ROI 2 test,0.7958415489448672
435,ern-ROI 2 test,0.9804698255698232
436,ern-ROI 2 test,0.8564617994594838
437,ern-ROI 2 test,0.8817546751182854
438,ern-ROI 2 test,0.914272311828148
439,ern-ROI 2 test,0.735211984760145
440,ern-ROI 2 test,0.9594175713818034
441,ern-ROI 2 test,0.8758747383607827
442,ern-ROI 2 test,0.8072710509559805
443,ern-ROI 2 test,0.8934107518849914
444,ern-ROI 2 test,0.9123098592665404
445,ern-ROI 2 test,0.8917332983484494
446,ern-ROI 2 test,0.876305506739704
447,ern-ROI 2 test,0.8216095875522287
448,ern-ROI 2 test,0.8486801297583192
449,ern-ROI 2 test,0.7573741302176044
450,ern-ROI 2 test,0.9069171476641004
451,ern-ROI 2 test,0.9632832742818559
452,pe-ROI 3 test,0.751168409270937
453,pe-ROI 3 test,0.7768082841903757
454,pe-ROI 3 test,0.835047706978965
455,pe-ROI 3 test,0.7886834605354625
456,pe-ROI 3 test,0.628677994019133
457,pe-ROI 3 test,0.6446786420160312
