,pipeline,values
57,ern-ROI 1 train,53.34566933495539
58,ern-ROI 1 train,42.430912219508244
59,ern-ROI 1 train,60.553601232206766
60,ern-ROI 1 train,45.90978228889218
61,ern-ROI 1 train,28.6137437467102
62,ern-ROI 1 train,68.94327098993914
63,ern-ROI 1 train,53.056560082522154
64,ern-ROI 1 train,43.594457301083004
65,ern-ROI 1 train,37.96384531387443
66,ern-ROI 1 train,29.38103597620348
67,ern-ROI 1 train,27.770070385316053
68,ern-ROI 1 train,18.971326813260067
69,ern-ROI 1 train,46.0824776821864
70,ern-ROI 1 train,43.464704265701016
71,ern-ROI 1 train,38.6761861612316
72,ern-ROI 1 train,31.94015973082509
73,ern-ROI 1 train,23.038814119939964
74,ern-ROI 1 train,43.97923648803638
75,ern-ROI 1 train,27.54918173040008
76,ern-ROI 1 train,32.42844536871898
77,ern-ROI 1 train,21.917753385926996
78,ern-ROI 1 train,55.594399874709865
79,ern-ROI 1 train,44.088632310473805
80,ern-ROI 1 train,43.78000477362708
81,ern-ROI 1 train,38.03555635707667
82,ern-ROI 1 train,34.565182869857686
83,ern-ROI 1 train,65.15604833248905
84,ern-ROI 1 train,44.67864108109347
85,ern-ROI 1 train,59.937793979317355
86,ern-ROI 1 train,21.25892347486627
87,ern-ROI 1 train,37.73078283012202
88,ern-ROI 1 train,13.96415832846661
89,ern-ROI 1 train,18.021009063562957
90,ern-ROI 1 train,36.41170549570242
91,ern-ROI 1 train,20.517792509840636
92,ern-ROI 1 train,18.5774542381134
93,ern-ROI 1 train,48.89725792794224
94,ern-ROI 1 train,54.05756721313874
95,ern-ROI 1 train,26.14649951752611
96,ern-ROI 2 train,32.70800682057313
97,ern-ROI 2 train,43.21672066983531
98,ern-ROI 2 train,78.09225571160019
99,ern-ROI 2 train,23.30758545128183
100,ern-ROI 2 train,41.51301507104782
101,ern-ROI 2 train,40.760708380451895
102,ern-ROI 2 train,26.738197655619697
103,ern-ROI 2 train,23.327903021547932
104,ern-ROI 2 train,78.36038143912003
105,ern-ROI 2 train,34.044211030013074
106,ern-ROI 2 train,26.853075740666668
107,ern-ROI 2 train,54.356147886934124
108,ern-ROI 2 train,92.17702860425362
109,ern-ROI 2 train,87.39813918662807
110,ern-ROI 2 train,32.402598526992506
111,ern-ROI 2 train,50.48283749615291
112,ern-ROI 2 train,94.7576256638595
113,ern-ROI 2 train,49.39002203984827
114,ern-ROI 2 train,45.597593188459264
115,ern-ROI 2 train,58.67618763811986
116,ern-ROI 2 train,29.863373644138136
117,ern-ROI 2 train,72.47462272846047
118,ern-ROI 2 train,34.418071713049486
119,ern-ROI 2 train,42.95786033210328
120,ern-ROI 2 train,49.75038034349589
121,ern-ROI 2 train,25.68253283335509
122,ern-ROI 2 train,40.77673359032731
123,ern-ROI 2 train,31.466221016430342
124,ern-ROI 2 train,27.69060813985111
125,ern-ROI 2 train,23.87459232743035
126,ern-ROI 2 train,59.72437163726656
127,ern-ROI 2 train,36.50261781032597
128,ern-ROI 2 train,66.5163346597687
129,ern-ROI 2 train,40.099472776956766
130,ern-ROI 2 train,38.09743253319082
131,ern-ROI 2 train,28.99744067217669
132,ern-ROI 2 train,76.94539375424172
133,ern-ROI 2 train,41.42311211526756
134,ern-ROI 2 train,45.70958922422393
135,ern-ROI 2 train,26.000243292181366
136,ern-ROI 2 train,51.45164639626899
137,ern-ROI 2 train,39.78903647505307
138,ern-ROI 2 train,50.77298008169551
139,ern-ROI 2 train,44.552483649253865
140,ern-ROI 2 train,47.68236697956423
141,ern-ROI 2 train,14.164220808205325
142,ern-ROI 2 train,24.103744049294846
143,ern-ROI 2 train,40.098116084583744
144,ern-ROI 2 train,43.247721446231346
145,ern-ROI 2 train,49.10767206976014
146,ern-ROI 2 train,41.35322308567321
147,ern-ROI 2 train,87.54609440878
148,ern-ROI 2 train,66.38533584663283
149,ern-ROI 2 train,29.14672360418923
150,ern-ROI 2 train,65.507847118676
151,ern-ROI 2 train,57.13801019748792
